outer_target,experiment,variant,policy,mask_replicate,track,n,prevalence,roc_auc,average_precision,log_loss,balanced_log_loss,brier,balanced_brier,accuracy,balanced_accuracy,f1,precision,recall,sensitivity_at_80_specificity,calibration_intercept,calibration_slope,aurc
cleveland,v0_pooled_erm,v0,drop_advanced,0,dg_zero_shot,303.0,0.45874587458745875,0.8826548517283733,0.8732529459779951,0.44656732413823325,0.44555957309840777,0.1426260860814914,0.14248930630114806,0.7887788778877888,0.7878794525355326,0.7714285714285715,0.7659574468085106,0.7769784172661871,0.7482014388489209,-0.22978213794472618,1.3713554385005617,0.08557804412978755
cleveland,v0_pooled_erm,v0,drop_exercise,0,dg_zero_shot,303.0,0.45874587458745875,0.8700649236708194,0.8574512166046088,0.5371767097744286,0.5213127133877608,0.17957780769893064,0.17266469613312158,0.7392739273927392,0.7531145815055273,0.764179104477612,0.6530612244897959,0.920863309352518,0.762589928057554,-1.219172736031708,1.9813478460066538,0.14617952057463318
cleveland,v0_pooled_erm,v0,drop_routine,0,dg_zero_shot,303.0,0.45874587458745875,0.8979645551851202,0.8854860593300852,0.48870921178531274,0.47313524009026264,0.15917438479042825,0.15285389226873392,0.7920792079207921,0.8029917529391122,0.804953560371517,0.7065217391304348,0.935251798561151,0.7985611510791367,-1.1652857983240033,1.712373473766757,0.11599839114339465
cleveland,v0_pooled_erm,v0,empirical_source,0,dg_zero_shot,303.0,0.45874587458745875,0.863528689243727,0.8506142642104098,0.4675295173238463,0.4666345800948972,0.15073251722673364,0.15068279659390205,0.7854785478547854,0.7831856466046675,0.7636363636363637,0.7720588235294118,0.7553956834532374,0.7553956834532374,-0.2281902758084731,1.320887765710808,0.10163987344324434
cleveland,v0_pooled_erm,v0,empirical_source,1,dg_zero_shot,303.0,0.45874587458745875,0.8733549745569397,0.8673141175631098,0.4597599774883791,0.45882807878952203,0.14691658787512027,0.14674891287421404,0.7986798679867987,0.7975741358133006,0.7813620071684588,0.7785714285714286,0.7841726618705036,0.7841726618705036,-0.23953539427705253,1.3433445389144392,0.09793169956216814
cleveland,v0_pooled_erm,v0,empirical_source,2,dg_zero_shot,303.0,0.45874587458745875,0.8784435865941392,0.873109530230912,0.4549336817846002,0.4528342472769725,0.1464116798204575,0.1457545177876173,0.7722772277227723,0.7731838919108616,0.759581881533101,0.7364864864864865,0.7841726618705036,0.762589928057554,-0.29026757747862747,1.3462676918005565,0.08754920163603339
cleveland,v0_pooled_erm,v0,empirical_source,3,dg_zero_shot,303.0,0.45874587458745875,0.8670380768555886,0.8609536411759098,0.4647464238764784,0.4638810208765241,0.14960316786375194,0.1494686571725679,0.7887788778877888,0.7878794525355326,0.7714285714285715,0.7659574468085106,0.7769784172661871,0.7769784172661871,-0.23191667348953882,1.337321921977253,0.09909374431794948
cleveland,v0_pooled_erm,v0,empirical_source,4,dg_zero_shot,303.0,0.45874587458745875,0.8782681172135463,0.8728964875874523,0.4515579692642934,0.4511144140816741,0.1446392683677452,0.14467920061247286,0.7854785478547854,0.7842823302333743,0.7670250896057348,0.7642857142857142,0.7697841726618705,0.7482014388489209,-0.2003380856517472,1.3956468180734691,0.08478377573919152
cleveland,v0_pooled_erm,v0,empirical_source,5,dg_zero_shot,303.0,0.45874587458745875,0.8710300052640814,0.8524947845607275,0.46279415076226543,0.46166775513403413,0.1481711123011911,0.1478688104328208,0.7920792079207921,0.7936699420951044,0.7820069204152249,0.7533333333333333,0.8129496402877698,0.7769784172661871,-0.22598625687243956,1.3390209433124642,0.10065918242122918
cleveland,v0_pooled_erm,v0,empirical_source,6,dg_zero_shot,303.0,0.45874587458745875,0.8889278820845762,0.889131008991425,0.4377982226850107,0.4370700774092254,0.1386526035230253,0.13850497591479746,0.8184818481848185,0.8180601859975434,0.8042704626334519,0.795774647887324,0.8129496402877698,0.8129496402877698,-0.2305431604868932,1.4668882845277533,0.07594159511207316
